ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,chinese_holiday,chinese_holiday_lower,chinese_holiday_upper,holidays,holidays_lower,holidays_upper,monthly,monthly_lower,monthly_upper,quarterly,quarterly_lower,quarterly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-05-15,31403.504701793572,-52413.82330445862,64455.22991570374,31403.504701793572,31403.504701793572,-25609.22335832301,-25609.22335832301,-25609.22335832301,0.0,0.0,0.0,0.0,0.0,0.0,-5546.717739212072,-5546.717739212072,-5546.717739212072,13905.121786313714,13905.121786313714,13905.121786313714,-1411.005175755241,-1411.005175755241,-1411.005175755241,-32556.622229669407,-32556.622229669407,-32556.622229669407,0.0,0.0,0.0,5794.28134347056
2017-05-16,31460.694176081422,-46333.972245641686,72602.16343572765,31460.694176081422,31460.694176081422,-18079.90192826806,-18079.90192826806,-18079.90192826806,0.0,0.0,0.0,0.0,0.0,0.0,-2549.616390539405,-2549.616390539405,-2549.616390539405,16410.94557184332,16410.94557184332,16410.94557184332,1320.3942868691004,1320.3942868691004,1320.3942868691004,-33261.625396441086,-33261.625396441086,-33261.625396441086,0.0,0.0,0.0,13380.792247813362
2017-05-17,31517.88365036927,-49071.97377674639,69003.811425009,31517.88365036927,31517.88365036927,-21187.90835270866,-21187.90835270866,-21187.90835270866,0.0,0.0,0.0,0.0,0.0,0.0,-4837.457494493936,-4837.457494493936,-4837.457494493936,17843.46612391789,17843.46612391789,17843.46612391789,-425.81732500317185,-425.81732500317185,-425.81732500317185,-33768.099657129445,-33768.099657129445,-33768.099657129445,0.0,0.0,0.0,10329.97529766061
2017-05-18,31575.073124657112,-51036.062831541465,70560.42207489388,31575.073124657112,31575.073124657112,-21981.987435386378,-21981.987435386378,-21981.987435386378,0.0,0.0,0.0,0.0,0.0,0.0,-9001.502238940036,-9001.502238940036,-9001.502238940036,17942.744938261734,17942.744938261734,17942.744938261734,2813.2704882414296,2813.2704882414296,2813.2704882414296,-33736.500622949505,-33736.500622949505,-33736.500622949505,0.0,0.0,0.0,9593.085689270734
2017-05-19,31632.262598944963,-65735.45568052908,52278.612096604375,31632.262598944963,31632.262598944963,-32880.089442331126,-32880.089442331126,-32880.089442331126,0.0,0.0,0.0,0.0,0.0,0.0,-12221.59756966431,-12221.59756966431,-12221.59756966431,16591.947305050922,16591.947305050922,16591.947305050922,-4388.569164531723,-4388.569164531723,-4388.569164531723,-32861.870013185995,-32861.870013185995,-32861.870013185995,0.0,0.0,0.0,-1247.826843386163
2017-05-20,31689.452073232813,-58421.218901337656,56491.99035573155,31689.452073232813,31689.452073232813,-33105.771164707716,-33105.771164707716,-33105.771164707716,0.0,0.0,0.0,0.0,0.0,0.0,-13661.166949505372,-13661.166949505372,-13661.166949505372,13834.183434809012,13834.183434809012,13834.183434809012,-2351.1318084713025,-2351.1318084713025,-2351.1318084713025,-30927.655841540058,-30927.655841540058,-30927.655841540058,0.0,0.0,0.0,-1416.319091474903
2017-05-21,31746.641547520656,-61977.22317462458,55652.9896053589,31746.641547520656,31746.641547520656,-33763.50822546243,-33763.50822546243,-33763.50822546243,0.0,0.0,0.0,0.0,0.0,0.0,-12804.836657214806,-12804.836657214806,-12804.836657214806,9869.083408075516,9869.083408075516,9869.083408075516,-2977.4654660579026,-2977.4654660579026,-2977.4654660579026,-27850.289510265244,-27850.289510265244,-27850.289510265244,0.0,0.0,0.0,-2016.8666779417727
2017-05-22,31803.831021808503,-61009.34095822998,62176.91885857009,31803.831021808503,31803.831021808503,-30453.76724082821,-30453.76724082821,-30453.76724082821,0.0,0.0,0.0,0.0,0.0,0.0,-10365.088780587172,-10365.088780587172,-10365.088780587172,5030.261320733788,5030.261320733788,5030.261320733788,-1411.0051757689237,-1411.0051757689237,-1411.0051757689237,-23707.934605205897,-23707.934605205897,-23707.934605205897,0.0,0.0,0.0,1350.0637809802938
2017-05-23,31861.020496096353,-56728.50881126106,63661.777980104205,31861.020496096353,31861.020496096353,-25455.54630819028,-25455.54630819028,-25455.54630819028,0.0,0.0,0.0,0.0,0.0,0.0,-7774.634508408938,-7774.634508408938,-7774.634508408938,-252.65829521679862,-252.65829521679862,-252.65829521679862,1320.3942868683807,1320.3942868683807,1320.3942868683807,-18748.647791432937,-18748.647791432937,-18748.647791432937,0.0,0.0,0.0,6405.474187906071
2017-05-24,31918.209970384203,-50203.7522214304,68219.94624174603,31918.209970384203,31918.209970384203,-24434.817731436273,-24434.817731436273,-24434.817731436273,0.0,0.0,0.0,0.0,0.0,0.0,-5131.363874227315,-5131.363874227315,-5131.363874227315,-5501.958002920625,-5501.958002920625,-5501.958002920625,-425.81732502387564,-425.81732502387564,-425.81732502387564,-13375.678529264445,-13375.678529264445,-13375.678529264445,0.0,0.0,0.0,7483.39223894793
2017-05-25,31975.399444672046,-43687.292439917044,71431.50142088953,31975.399444672046,31975.399444672046,-18040.556999671455,-18040.556999671455,-18040.556999671455,0.0,0.0,0.0,0.0,0.0,0.0,-2500.050478511946,-2500.050478511946,-2500.050478511946,-10243.28935826406,-10243.28935826406,-10243.28935826406,2813.2704882567555,2813.2704882567555,2813.2704882567555,-8110.487651152217,-8110.487651152217,-8110.487651152217,0.0,0.0,0.0,13934.842445000591
2017-05-26,32032.588918959893,-46183.68535674395,70283.33389685905,32032.588918959893,32032.588918959893,-23167.10264751387,-23167.10264751387,-23167.10264751387,0.0,0.0,0.0,0.0,0.0,0.0,-1187.2463960732123,-1187.2463960732123,-1187.2463960732123,-14054.346376725,-14054.346376725,-14054.346376725,-4388.569164537414,-4388.569164537414,-4388.569164537414,-3536.940710178231,-3536.940710178231,-3536.940710178231,0.0,0.0,0.0,8865.486271446021
2017-05-27,32089.778393247743,-46981.312511793396,71452.31844768472,32089.778393247743,32089.778393247743,-19976.392555562903,-19976.392555562903,-19976.392555562903,0.0,0.0,0.0,0.0,0.0,0.0,-787.2279735050132,-787.2279735050132,-787.2279735050132,-16605.35659531241,-16605.35659531241,-16605.35659531241,-2351.131808477932,-2351.131808477932,-2351.131808477932,-232.67617826754932,-232.67617826754932,-232.67617826754932,0.0,0.0,0.0,12113.38583768484
